Business Name,Building,Workers,Category,Information,Website
Bike New York,88,30,Education & Nonprofit, A nonprofit organization dedicated to promoting bicycling and bicycle safety through education, community outreach, and events.,https://www.bike.nyc/
Brooklyn Book Bodega,77,5,Education & Nonprofit,Brooklyn Book Bodega provides access to and ownership of books, builds community, and creates a passion for learning through free events and literacy-based community programming.,https://www.brooklynbookbodega.org/book-drop-location
Brooklyn Greenway Initiative,100,7,Education & Nonprofit,"Contracting & Construction, public space",https://www.brooklyngreenway.org/
"Brooklyn Workforce Innovations (Leap, Inc)",92,16,Education & Nonprofit,"Employment Center, Job Training",https://bwiny.org/?gclid=EAIaIQobChMInfnjz8iTgAMVirbICh2Jqw5gEAAYASAAEgKjivD_BwE
BTFA Collective,77,1,Education & Nonprofit,"Arts, LGBTQIA",https://www.btfacollective.org/
Dieu Donne,88,11,Education & Nonprofit,Papermaking education and collective,https://www.dieudonne.org/
HITN Inc.,33,49,Education & Nonprofit,A & H C Designs Corp,https://www.hitn.org/
Little Essentials,240,3,Education & Nonprofit,"Clothing, Maternity and Baby Goods",https://www.littleessentials.org/
Terreform ONE,212,11,Education & Nonprofit,"501c3; Art, Architecture, and Urban Design research group, Sustainability",https://www.terreform.org/
Adam Elstein Studio,77,1,Fine Art & Photography,"Architectural photographer, Pratt Adjunct Professor",https://www.adamelstein.com/
Alsop Studios,77,2,Fine Art & Photography,"Photography, Commercial Art, Product Photography",https://www.linkedin.com/in/ben-alsop-51303292/
Alyson Shotz Studio LLC,240,1,Fine Art & Photography,Fine art,https://www.google.com/search?q=alyson+shotz&rlz=1C1VDKB_enUS1120US1120&oq=alyson+shotz&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgYIARBFGEAyBggCEEUYPNIBCDE5MzVqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8
Andrea Rosen Gallery Inc.,140,2,Fine Art & Photography,Artist Rep,https://www.andrearosengallery.com/
Anne Ballard Peabody,77,16,Fine Art & Photography,"Sculpture, Installation, Drawing, Performance Art",https://www.annepeabody.com/
Anne Collier,140,3,Fine Art & Photography,"Photography, High Profile",https://en.wikipedia.org/wiki/Anne_Collier
Area 1202,140,77,Fine Art & Photography,"Photography, Video, Commercial Art, Fashion",http://www.area1202.com/
Barbara Gallucci,97,2,Fine Art & Photography,"Sculpture, Installation, Photography, Design",https://www.barbaragallucci.com/
Ben Thorp Brown,88,1,Fine Art & Photography,Photgraphy studio,https://www.benthorpbrown.com/
Beth Campbell Studio,88,1,Fine Art & Photography,"Sculpture, Ceramics, Object Work",https://bethcampbellstudio.com/
BREAKFAST,303,22,Fine Art & Photography,"Tech Art, Climate",https://breakfaststudio.com/
Brooklyn Clay Industries,103,4,Fine Art & Photography,Pottery Studio,https://www.brooklynclayindustries.com/
Cameron Martin,209,1,Fine Art & Photography,Digital Painting,http://www.cameronmartin.info/
Candace Howe Studios,77,4,Fine Art & Photography,"Photography, Commercial Art, Portraits, Maternity",https://candacehowestudios.com/
Cason Latimer Studio,212,6,Fine Art & Photography,"Photography, Video, Commerical Product Photography",https://casonlatimer.com/
Cecilia Ruiz,103,1,Fine Art & Photography,Illustration,https://www.ceciliaruiz.com/
Chalet Studio (Travis Rathbone Studio),303,8,Fine Art & Photography,"Photography, Commercial Art, Product Photography",https://www.travisrathbone.com/
Charline Von Heyl,88,3,Fine Art & Photography,Painting,https://en.wikipedia.org/wiki/Charline_von_Heyl
Charlotta Westergren,103,1,Fine Art & Photography,"Painting, Sculpture",https://charlottawestergren.com/
Chelsie Craig,77,1,Fine Art & Photography,"Photography, Commercial Art, Product Photography",https://chelsiecraig.studio/
Claudio F. D'Alberti,240,2,Fine Art & Photography,Painting,https://www.instagram.com/claudiodart/
Conjunction Arts (Collaborative Urban Sculpture),209,1,Fine Art & Photography,Artist Collective,https://conjunctionarts.com/
