Business Name,Building,Workers,Category,Information
3lite Limited,"BLDG 77, STE 1313, Brooklyn Navy Yard",20,Architecture & Design,Architectural materials procurement specialist; Satellite office of global company
5TEN,"BLDG 77 STE 1222, Brooklyn Navy Yard 11205",17,"""Hardware, Software, & Design Engineering""","LED Lighting project management, prototyping, and technical execution"
10xBeta,"BLDG 303, STE 801, 807, 808, 809, Brooklyn Navy Yard",45,"""Biotech, Lab, & Medtech""","Simple Smart/Connected Medical Devices, Product Development, Life Sciences, High quantity of prototypes fabricated on-site"
12 Hall Street Storage,,3,,
26 Adar Corp aka Asap Expediting Corp,"BLDG 62 STE 204, Brooklyn Navy Yard 11205",2,Contracting & Construction,Expeditor for architectural buildouts
66s Fusion,"BLDG 120 STE 102, Brooklyn Navy Yard 11205",8,Food & Beverage,"Specialty - Asian, Offices for Flushing Ave restaurant"
"240 Tutoring, Inc.",,3,,"Industry: Services, Artists, & Designers, Sub Industry: Education & Nonprofit

Termination notice as of May 2024."
Abby Lichtman,"BLDG 62 STE 202, Brooklyn Navy Yard 11205",0,,"Industry: Services, Artists, & Designers, Sub Industry: Apparel & Accessory"
Aclima,"BLDG 128, STE n/a Newlab",1,,
Actasys,,1,"""Hardware, Software, & Design Engineering""",Prototyping and manufacturing of ultracompact air blowers
Ada Chen,"BLDG 62, STE 202, Brooklyn Navy Yard",1,Apparel & Accessory,"Jewelry, Small Goods, E-commerce Retail"
Adam Elstein Studio,,2,Fine Art & Photography,"Architectural photographer, Pratt Adjunct Professor"
Adele Kaufman,,1,,
ADL Distributors Corp,"BLDG 77 STE 1019, 1019 A, Brooklyn Navy Yard 11205",2,Other / Professional Services,"Wholesale, Mixed Merchandise?"
Agger Fish Corp,"July lease renewal for BLDG 234 STE 101 + 201.

BLDG 234, 269, 313 STE 101, 101, 101, 201, Brooklyn Navy Yard 11205",1,Food & Beverage,"Fish, Specialty - Monkfish, Event Rental Splace"
AirTulip,,4,,
Alan Dorsey Custom Woodworking,"BLDG 5, STE 302W",1,Fabrication & Custom Installation (Wood & Metal),Woodworking
Alepreda Architecture,"BLDG 77, STE 1239, Brooklyn Navy Yard",1,Architecture & Design,"Building, interiors and furniture design and showcase space"
Algoma,"BLDG 128, STE ",1,"""Hardware, Software, & Design Engineering""",Proptech Software for Zero Emissions Buildings Real Estate Development
"Aligned Food Systems, Inc. dba SIMULATE",,1,Food & Beverage,
All County Business Essentials,"BLDG 292 STE 105, Brooklyn Navy Yard 11205",1,,"Industry: Manufacturers & Distributors, Sub Industry: Transportation"
All-Citi Toner Inc.,"BLDG 77 STE 1112, Brooklyn Navy Yard 11205",0,,"Industry: Manufacturers & Distributors, Sub Industry: Transportation"
Allied Importers,"BLDG 3, STE 202, Brooklyn Navy Yard, Brooklyn NY 11205",8,Food & Beverage,"Wine, Spirits"
Alsop Studios,"BLDG 77 STE 1223, Brooklyn Navy Yard 11205",1,Fine Art & Photography,"Photography, Commercial Art, Product Photography"
Alterlab LLC aka Graph Commons,"BLDG 212 STE 201B, Brooklyn Navy Yard 11205",1,"""Hardware, Software, & Design Engineering""","Software Platform for Data Mapping and Visualization, AI"
Alyson Shotz Studio LLC,,2,Fine Art & Photography,Fine art
Amatec,,1,"Construction,Power & Energy",
AmbienTech,"BLDG 212 STE 407, Brooklyn Navy Yard 11205",1,"""Hardware, Software, & Design Engineering""",Design and Fabrication Lighting Dimmer Connected Software and Devices/Smart Tech
American Heirloom,"BLDG 212 STE 406, Brooklyn Navy Yard 11205",1,,"Industry: Manufacturers & Distributors, Sub Industry: Furniture & Homegoods"
Amogy,"BLDG 74, 212, parking RR3A, STE 101, Outdoor 1 (74); 501 (212); Parking RR3A",20,Power & Energy,"Ammonia Fuel Systems for Shipping and Long-distance Transportation, Zero Emissions, Sustainable"
Anchor Light Productions,"BLDG 77 STE 1018A, Brooklyn Navy Yard 11205",3,Creative Office & Media,"Creative Production Company, Production Talent - Cinematography, Art Direction"
Andrea Rosen Gallery Inc.,"BLDG 280 STE 513, Brooklyn Navy Yard 11205",2,Fine Art & Photography,Artist Rep
Andrew Joshua Meave-Alonso,"BLDG 77, STE 1220",1,Other / Professional Services,Unknown
Anne Ballard Peabody,"BLDG 77 STE 1324A, Brooklyn Navy Yard 11205",1,Fine Art & Photography,"Sculpture, Installation, Drawing, Performance Art"
Anne Collier,"BLDG 280 STE 221, Brooklyn Navy Yard 11205",3,Fine Art & Photography,"Photography, High Profile"
Annie's Ginger Elixir,"BLDG 77 STE 1001, Brooklyn Navy Yard 11205",4,,"Industry: Manufacturers & Distributors, Sub Industry: Food & Bev Production"
AP Distri,"BLDG 77 STE 1112 A, 1131, Brooklyn Navy Yard 11205",1,Other / Professional Services,"Warehousing, Mixed Merchandise?"
Applied Adaptogens aka Nothing Special,"BLDG 128, STE n/a Newlab",1,Food & Beverage,"Non-alcoholic Beverage, Kava"
Appliedxl,"BLDG 128, STE n/a Newlab",0,"""Hardware, Software, & Design Engineering""",AI/Data science; Prototyping & Tech
Aquis Hairsciences Inc,"BLDG 303 STE 803, Brooklyn Navy Yard 11205",1,,"Industry: Manufacturers & Distributors, Sub Industry: Beauty & Personal Care"
Aranda\Lasch,"BLDG 77, STE 1317, Brooklyn Navy Yard",1,Architecture & Design,"Architect, Installations, Product/Object Design"
Arbon,"BLDG 128, STE n/a Newlab",1,Power & Energy,Carbon removal materials; Sustainability 
Arc Manufacturer,,0,,
Architectural Grille,,5,,
Area 1202,"BLDG 280, STE 816",3,Fine Art & Photography,"Photography, Video, Commercial Art, Fashion"
Area Props NYC,"BLDG 77, STE 1111",0,Other / Professional Services,Prop Rental House
Ares Equities,"BLDG 5 STE 101, 102, 602, Brooklyn Navy Yard 11205",2,Printing & Engraving,Printing and Packaging
Armada New York,"BLDG 303 STE 705, 706, Brooklyn Navy Yard 11205",1,,"Industry: Manufacturers & Distributors, Sub Industry: Fabrication & Custom Installation (Wood & Metal)"
Arplast Corp,"BLDG 292 STE 109, Brooklyn Navy Yard 11205",1,,"Industry: Manufacturers & Distributors, Sub Industry: Fabrication & Custom Installation (Wood & Metal)"
Art for Film,"BLDG 303, STE 607, Brooklyn Navy Yard, Brooklyn NY 11205",4,Creative Office & Media,"Art Rental, Printing, and Framing (small-sized, ready-made frames only)"
Art In Construction,"BLDG 3 STE 1011, Brooklyn Navy Yard 11205",3,Fabrication & Custom Installation (Wood & Metal),Plaster Fabrication and Finishing
Arx USA aka 131co aka Helios Trade Corp,Lease terminated in July 2024.,3,,"Industry: Manufacturers & Distributors, Sub Industry: Health Care"
Asa Pingree,"BLDG 131 STE 3S, Brooklyn Navy Yard 11205",1,Furniture & Home Goods,"Sculptural chairs, benches, decor"
Asher Isrealow,"BLDG n/a undeclared sub of unknown tenant STE n/a undeclared sub of unknown tenant, Brooklyn Navy Yard 11205",0,Furniture & Home Goods,Architectural Furniture
Atlantic Logistics Inc.,"BLDG 292, STE 322",1,Transportation,Trucking Company
Atoms Inc,,1,,
Atsuyo Et Akiko,"BLDG 3, STE 314, Brooklyn Navy Yard",1,Apparel & Accessory,"Clothing, Childrens, Jewelry, Bags, Handbags, Decor, E-commerce Retail"
ATZ Trading Inc,"BLDG 120 STE 102, Brooklyn Navy Yard 11205",1,Food & Beverage,Restaurant Supply
Aurate,,2,,
Auto Tech 113,"BLDG 3 STE 1002, Brooklyn Navy Yard 11205",2,Transportation,Auto Device - Mobile Oil Draincart
AV&C,"BLDG 303 STE 804, Brooklyn Navy Yard 11205",7,"""Hardware, Software, & Design Engineering""","Architectural Digital Installations, Experience Design, Interactive, Commercial"
AVO Studio,"BLDG 10 STE ?, Brooklyn Navy Yard 11205",2,Furniture & Home Goods,"Leather & Woven Rugs & Surfaces, E-commerce Retail"
Avol Aerospace,,1,Transportation,"Time-critical shipments of blood, stem cells, tissues, and other urgent products between cities."
Ayo Labs,BLDG 127 STE 201,2,,New tenant lease notice as of March 2024.
B & F Office Equipment,"BLDG ? STE ?, Brooklyn Navy Yard 11205",0,,"Industry: Manufacturers & Distributors, Sub Industry: Food & Bev Production"
B. Stuyvesant Champagne,"BLDG 212, STE 504, Brooklyn Navy Yard, Brooklyn NY 11205",2,Food & Beverage,"Champagne, Wine, E-commerce Retail"
Balarama Heller (Navy Studio Member),"BLDG 50A STE 101, Brooklyn Navy Yard 11205",0,,"Industry: Services, Artists, & Designers, Sub Industry: Fine Art & Photography"
BAM Art Department,"BLDG 77, STE 1234",2,Creative Office & Media,"Production Design, Art Direction, Graphic Design for Film, TV, Commercials, Music Videos"
Barbara Gallucci,"BLDG 30 STE 203, Brooklyn Navy Yard 11205",1,Fine Art & Photography,"Sculpture, Installation, Photography, Design"
Barden LLC,"BLDG 77 STE 1033, Brooklyn Navy Yard 11205",1,Contracting & Construction,"Project Manager, Commercial Construction"
Barnett Spices of NY,"Former address: BLDG 280 STE 505, Brooklyn Navy Yard 11205",1,Food & Beverage,"Herbs, Spices"
Barronarts,"BLDG 280 STE 501, Brooklyn Navy Yard 11205",8,Fine Art & Photography,"Fine Art and Photography Frames, Canvases"
Barry Rust,"BLDG 120, STE 208",2,Furniture & Home Goods,"Woodwork, Banjos, Ukeleles, Small Vessels, Kitchen Goods, E-commerce Retail"
Baton Media,"BLDG 77, STE 1314",1,Creative Office & Media,"Software music collaboration platform for unreleased material, Start-up, Venture-backed"
Bats-Toi,"BLDG 128, STE n/a Newlab",0,,&Apparel & Accessory; Wearables
BEAM Architects aka J Goldman Designs,"BLDG 77, STE 1201, Brooklyn Navy Yard",1,Architecture & Design,"Architect, Residential, Commercial, Interior Design"
Bednark Studio,"BLDG 28 STE 101, Brooklyn Navy Yard 11205",20,Fabrication & Custom Installation (Wood & Metal),Retail & Experiential Fabrication
Ben Thorp Brown,,1,Fine Art & Photography,Photgraphy studio
Benjamin Kapoor Studio LLC,"BLDG 131, STE XX",1,Furniture & Home Goods,"Furniture art pieces - studio creating chairs, sculptures, paintings"
Best Service USA Corp.,"BLDG 3 STE 406, Brooklyn Navy Yard 11205",1,Other / Professional Services,"Warehousing, Mixed Merchandise"
Beth Campbell Studio,"BLDG 3 STE 401, Brooklyn Navy Yard 11205",2,Fine Art & Photography,"Sculpture, Ceramics, Object Work"
Beverly Semmes,"BLDG 120 STE 201, Brooklyn Navy Yard 11205",1,Fabrication & Custom Installation (Wood & Metal),Sculpture
Bien Hecho,"BLDG 3 STE 1110, Brooklyn Navy Yard 11205",1,Fabrication & Custom Installation (Wood & Metal),"Woodworking, Millwork, E-commerce Retail"
Bike New York,"BLDG 3 STE 1009, 1010, Brooklyn Navy Yard 11205",2,Education & Nonprofit,Bike mechanic education for justice involved persons
Biomific,,1,,
Bishop & Pain,"BLDG 77 STE 1234, Brooklyn Navy Yard 11205",0,,"Industry: Services, Artists, & Designers, Sub Industry: Architecture & Design"
BJH Advisors,,2,,
BK Actors Self-Tape,"BLDG 77 STE 1336, Brooklyn Navy Yard 11205",1,Creative Office & Media,"Production Services - Reels, Production Studio Rental, Post Production, Audio & Sound"
Black Square Builders Corp,"BLDG 77 STE 1118, Brooklyn Navy Yard 11205",1,Contracting & Construction,"General Contracting, Project Management, Design-Build"
Blackstock & Weber,"BLDG 77, STE 1119 C, Brooklyn Navy Yard",1,Apparel & Accessory,"Menswear, E-commerce Retail"
Blank Technologies,,1,,
Blueprint Power,"BLDG 77, STE 1015",1,,
Bluestone Lane,"BLDG 77 STE 1012 A, Brooklyn Navy Yard 11205",1,Food & Beverage,"Coffee, E-commerce Retail"
Bmb Sales Associates ,"BLDG 249 STE 101, Brooklyn Navy Yard 11205",2,Contracting & Construction,"Manufacturers Representatives for Plumbing, Heating and Fire Suppression Companies"
BNY Cogen aka Axium Infrastructure,"BLDG 41, STE 101, 102, Brooklyn Navy Yard, Brooklyn NY 11205",9,Power & Energy,Electricity and steam heat generation plant
BNY Construction Inc,"BLDG 3 STE 301, Brooklyn Navy Yard 11205",4,Contracting & Construction,"General Contracting, Woodworking"
Bob & Sons Refinishing,"BLDG 280 STE 601, 602, Brooklyn Navy Yard 11205",3,Furniture & Home Goods,"Restoration, Refinishing, Upholstery, Furniture"
Bonbite,"BLDG 58, STE 1N  Brooklyn Navy Yard 11205",4,Food & Beverage,"Catering, On-site Kitchen, Food Product/Brand Incubator"
Bone Simple Design,"BLDG 212, STE 407, Brooklyn Navy Yard, Brooklyn NY 11205",3,Furniture & Home Goods,Lighting Design and Manufacturing
BotBlox,"BLDG 5, STE 307, Brooklyn Navy Yard, Brooklyn NY 11205",2,"""Hardware, Software, & Design Engineering""","Founded in 2017, UK-based BotBlox has pioneered the world's most tough, ultra-compact hardware to fuel advancements in the field of aerospace, defense, mobile robotics and subsea engineering. Put simply, we aim to create the world's best hardware for Size, Weight, Power and Cost sensitive applications."
"BPL R & D, LLC aka Brower Propulsion Laboratory","BLDG 280 STE 502, 521, Brooklyn Navy Yard 11205",1,"""Hardware, Software, & Design Engineering""","Design and Fabrication for Designers, Engineers, Scientists, and Artists, Specialty - Rapid Prototyping"
Brachs Linen,"BLDG 77 STE 1005, Brooklyn Navy Yard 11205",0,,"Industry: Manufacturers & Distributors, Sub Industry: Furniture & Homegoods"
Brand's Payroll Inc,"BLDG 27 STE 101, 102, 104, Brooklyn Navy Yard 11205",6,Other / Professional Services,Payroll Processing Service
BREAKFAST,"BLDG 303 STE 805, 806, Brooklyn Navy Yard 11205",5,Fine Art & Photography,"Tech Art, Climate"
Brianna Calello,"BLDG 280 STE ?, Brooklyn Navy Yard 11205",1,,"Industry: Services, Artists, & Designers, Sub Industry: Fine Art & Photography"
"Brinks, Inc.","BLDG 700 STE 101, Brooklyn Navy Yard 11205",0,,"Industry: Manufacturers & Distributors, Sub Industry: Transportation"
Broadway Construction Group,,3,,
Brooklinen,"BLDG 212 STE 510, Brooklyn Navy Yard 11205",1,,"Lease amendment extension notice in November 2024. 

Industry: Manufacturers & Distributors, Sub Industry: Furniture & Homegoods"
Brooklyn Artisan Wood Crafts aka Artistic Wood Crafts,"BLDG 3 STE 310, Brooklyn Navy Yard 11205",3,Fabrication & Custom Installation (Wood & Metal),"Woodworking, Carpentry, Handyperson"
Brooklyn Book Bodega,"BLDG 77 STE 407, Brooklyn Navy Yard 11205",2,Education & Nonprofit,"Literacy, Children, Donations"
Brooklyn Clay Industries,"BLDG 62 STE 302, Brooklyn Navy Yard 11205",1,Fine Art & Photography,Pottery Studio
Brooklyn Craftsman,"BLDG 5 STE ?, Brooklyn Navy Yard 11205",1,Fabrication & Custom Installation (Wood & Metal),Woodworking
Brooklyn Grange,"BLDG 3 STE 1105, Roof, Brooklyn Navy Yard 11205",7,Food & Beverage,"Urban Farming, Event Rental Space, Sustainability, Hot Sauce, Retail"
Brooklyn Greenway Initiative,"BLDG 128, STE n/a Newlab",2,Education & Nonprofit,"Contracting & Construction, public space"
Brooklyn Haberdashery LLC,"BLDG 131 STE 3o, Brooklyn Navy Yard 11205",2,,"Industry: Manufacturers & Distributors, Sub Industry: Apparel & Accessory"
Brooklyn Navy Yard Development Corporation aka BNYDC,"BLDG 77, STE 801, Brooklyn Navy Yard, Brooklyn NY 11205",138,,
Brooklyn Roasting Company,"BLDG 123 STE 101, Brooklyn Navy Yard 11205",6,Food & Beverage,"Coffee, Roaster, E-commerce Retail"
Brooklyn Stone & Tile,"BLDG 12 STE 101, Brooklyn Navy Yard 11205",3,,"Industry: Manufacturers & Distributors, Sub Industry: Fabrication & Custom Installation (Wood & Metal)"
Brooklyn Storehouse LLC (formerly Broadwick Group Limited & TCE Presents LLC,"BLDG 293, STE 101, Brooklyn NY",4,,Services and Designers
"Brooklyn Workforce Innovations aka Leap, Inc.","BLDG 92 STE 201, Brooklyn Navy Yard 11205",9,Education & Nonprofit,"Employment Center, Job Training"
Bryson Brodie,"BLDG ? STE ?, Brooklyn Navy Yard 11205",1,Fine Art & Photography,Painting
BTFA Collective,"BLDG 77 STE 1319, Brooklyn Navy Yard 11205",1,Education & Nonprofit,"Arts, LGBTQIA"
Building 131 LLC.,,1,,
Building Diagnostics Robotics,,2,Fabrication & Custom Installation (Wood & Metal),
BVG Digital,"BLDG 77 STE 1321, Brooklyn Navy Yard 11205",1,Fine Art & Photography,Photography equipment storage
C.A.C.C.I,"BLDG 5 STE M1, Brooklyn Navy Yard 11205",0,,"Industry: Services, Artists, & Designers, Sub Industry: Education & Nonprofit"
Cactus Fabrication ,"BLDG 11, STE 101, Mezzanine",5,Fabrication & Custom Installation (Wood & Metal),Retail & Experiential Fabrication
Cadence ONEFive,,1,"""Hardware, Software, & Design Engineering""",Cloud software to accelerate building decarbonization for climate justice
Call-Chef Services aka BK Jerk Mobile,"BLDG  STE , Brooklyn Navy Yard 11205",0,,"Industry: Services, Artists, & Designers, Sub Industry: Food & Bev Retail"
Cameron Martin,"BLDG 275 STE 302, Brooklyn Navy Yard 11205",1,Fine Art & Photography,Digital Painting
Candace Howe Studios,"BLDG 77 STE 1120, Brooklyn Navy Yard 11205",1,Fine Art & Photography,"Photography, Commercial Art, Portraits, Maternity"
Captain and The Fox,"BLDG 58 STE 3A, Brooklyn Navy Yard 11205",2,Creative Office & Media,"Creative Production Company, Commercial, Theatrical, Post Production, Documentary, Platform Design"
Carbion,,1,Power & Energy,
Carbon Bridge,,1,"""Biotech, Lab, & Medtech""","Molecule synthesis
with proprietary compact, highly efficient, direct-gas bioreactor"
Care/Of,"BLDG 77 STE 401, Brooklyn Navy Yard 11205",73,,"Industry: Manufacturers & Distributors, Sub Industry: Health Care"
Carleen Sheehan,"Building 30, Suite 204",0,,"Lease renewal as of July 2024.

No separate account in SF."
Caroline Ongpin ,,1,Printing & Engraving,Lithography printmaking studio for private use and contract printing
Carrie Bilbo Jewelry aka Sweet Caroline   Adornments,"BLDG 62, STE 202, Brooklyn Navy Yard",1,Apparel & Accessory,"Jewelry, E-commerce Retail"
Cartwright New York,"BLDG 3 STE 811, Brooklyn Navy Yard 11205",1,Furniture & Home Goods,Lighting
Casey Sobel aka kcmetalsmithing,"BLDG 62, STE 202, Brooklyn Navy Yard",1,Apparel & Accessory,Jewelry
Cason Latimer Studio,"BLDG 212 STE 506, Brooklyn Navy Yard 11205",1,Fine Art & Photography,"Photography, Video, Commerical Product Photography"
Casual Films,"BLDG 77 STE 902, Brooklyn Navy Yard 11205",2,Creative Office & Media,"Brand Development, Creative Production Company, Commercial, Production Services - Reels, Animation, Satellite office of global firm"
Caswell Studios,"BLDG 131 STE 206, Brooklyn Navy Yard 11205",0,,"Industry: Services, Artists, & Designers, Sub Industry: Fine Art & Photography"
Catbird,"BLDG 77, STE 505, 709, 710, 903, Brooklyn Navy Yard",20,Apparel & Accessory,"Jewelry, E-commerce Retail"
Cecilia Ruiz,"BLDG 62 STE 207, Brooklyn Navy Yard 11205",1,Fine Art & Photography,Illustration
CenturyTech Inc.,"32 Intersection Street,
Hempstead NY",5,Not Applicable,"One-Stop Shop for Plastic Bags Converting Machines, Replacement Parts & Service.	"
Chalet Studio aka Travis Rathbone Studio,"BLDG 303 STE 504, Brooklyn Navy Yard 11205",1,Fine Art & Photography,"Photography, Commercial Art, Product Photography"
Chapter & Verse,"BLDG 77, STE 509; 410 (storage)",1,Furniture & Home Goods,Design & fabrication services
Chapter and Verse,BLDG 77 STE 509,0,,Furniture and design studio
Charline Von Heyl,"BLDG 3, STE 1106",1,Fine Art & Photography,Painting
Charlotta Westergren,"BLDG 62 STE 305, Brooklyn Navy Yard 11205",1,Fine Art & Photography,"Painting, Sculpture"
Chase Office Supply and B&F Office Furniture,"BLDG 3, STE 203, 204 - Confirmed space. ",13,Furniture & Home Goods,New and Used Office Furniture and Supplies
Chelsie Craig,"BLDG 77 STE 1118A, Brooklyn Navy Yard 11205",1,Fine Art & Photography,"Photography, Commercial Art, Product Photography"
Chemfinity Labs,,1,"""Biotech, Lab, & Medtech""",Creating molecularly selective materials that eliminate pollution and circularize natural resources.
Childhood Dreams,"BLDG 275 STE 303, Brooklyn Navy Yard 11205",2,Creative Office & Media,Recording studio and post production facility
Chris Campbell,"BLDG 128 STE X, Brooklyn Navy Yard 11205",0,,"Industry: Services, Artists, & Designers, Sub Industry: Fine Art & Photography"
Circle Studio,"BLDG 212, STE 203",1,Furniture & Home Goods,"Window treatments for residential, commercial, and film clients"
Circumference Products,"BLDG 77 STE 1334, Brooklyn Navy Yard 11205",0,,"Industry: Manufacturers & Distributors, Sub Industry: Beauty & Personal Care"
Citarella,,0,,
City Growers,"BLDG 3 STE 1105, Brooklyn Navy Yard 11205",3,,"Industry: Services, Artists, & Designers, Sub Industry: Education & Nonprofit"
Citywide Ferry,,16,,
Civilian,"BLDG 77, STE 1201, Brooklyn Navy Yard",1,Architecture & Design,"Architect, Residential, Commercial, Interior Design"
Clarapath,"12 Skyline Dr, Hawthorne NY",0,Advanced Manufacturing,"Clarapath is the first US-based company to develop a whole new category of ground breaking healthcare robotics, machine vision & digital automation tools, elevating the standard for hospitals & patients."
Claudio F. D'Alberti,"BLDG 131 STE 3M, 3N, Brooklyn Navy Yard 11205",1,Fine Art & Photography,Painting
Climate Town aka 400 Parts Per Million Productions,"BLDG 77 STE 1012, Brooklyn Navy Yard 11205",10,Creative Office & Media,"Production Company, Content Only, Climate and Comedy"
CLIP,"BLDG 128 at Newlab, Brooklyn Navy Yard, Brooklyn NY 11205",15,Power & Energy,"Clip-on E-bike device, Sustainable"
CLR Therapy Original Canvas Goods,"BLDG 77, STE 1323",1,Apparel & Accessory,"Streetwear, Hand painted apparel"
CO Adaptive,"BLDG 303, STE 603, Brooklyn Navy Yard",3,Architecture & Design,"Architect, Residential, Project Management, Renovation, Sustainability"
COCO + GOOCH aka Dopely + CO,"BLDG 77, STE 1232, Brooklyn Navy Yard",1,Apparel & Accessory,"Pet Clothing and Accessories, E-commerce Retail"
CocoaFiber,,1,"""Biotech, Lab, & Medtech""",
Cohesive Robotics aka Fit to Forge Inc.,"BLDG 128, 131 STE 3V, Brooklyn Navy Yard 11205",2,,"Industry: Manufacturers & Distributors, Sub Industry: Hardware, Software, & Design Engineering"
COI Energy,"BLDG 128, STE n/a Newlab",9,Power & Energy,"Software Platform for Energy Management, Sustainable; Proptech"
Collective Fare / Collective Food Works Inc. ,,2,,
Collector,"BLDG 3 STE 1007, Brooklyn Navy Yard 11205",1,Fabrication & Custom Installation (Wood & Metal),"Product Design, Furniture, Lighting, Sustainability"
Colorway,"BLDG 77 STE 1108, Brooklyn Navy Yard 11205",1,Creative Office & Media,Marketing Agency
Combined Architecture ,,1,Architecture & Design,"Architecture firm, model building"
Common Hill dba. NY Discounts,"BLDG 3, STE 805, Brooklyn Navy Yard",1,Apparel & Accessory,"Selling goods on Amazon, Walmart and eBay"
Conatix,,0,,Came from New Lab.
Conjunction Arts aka Collaborative Urban Sculpture,"BLDG 275 STE 203, Brooklyn Navy Yard 11205",1,Fine Art & Photography,Artist Collective
Constantine Karalis Architect,"BLDG 58, STE 3B, Brooklyn Navy Yard",2,Architecture & Design,"Architect, Residential, Commercial"
Construct Brooklyn,"BLDG 5 STE 501, Brooklyn Navy Yard 11205",6,Contracting & Construction,"Renovation, Contracting and Construction Management, Custom Millwork"
Corridor,"BLDG 77, STE 1320, Brooklyn Navy Yard",6,Apparel & Accessory,"Menswear, +Design, E-commerce Retail"
Cosmopro Corp.,"BLDG 3, STE 302, Brooklyn Navy Yard",1,Beauty & Personal Care,Wholesale of cosmetic goods
Courtney Washington,"BLDG 275, STE 407, Brooklyn Navy Yard",1,Apparel & Accessory,Womenswear
Creative Collaborative Associates aka TubbsArt Studio,"BLDG 5, STE 310",1,Fabrication & Custom Installation (Wood & Metal),Scenic Design
Crew Carbon,,2,"""Biotech, Lab, & Medtech""",CREW technology makes wastewater treatment safer and more efficient while permanently capturing greenhouse gases.
Crye Precision,"BLDG 5, 128, STE (209, 401), (102B, Outdoor), Brooklyn Navy Yard",3,Apparel & Accessory,"Specialty, Military, Luxury"
Curve ID,"BLDG 77, STE 1115, Brooklyn Navy Yard, Brooklyn NY 11205",2,Creative Office & Media,"Product Design, Industrial Design (close relationship with Smart Design)"
Cycle Retrotech,"BLDG 77, STE 1122, Brooklyn Navy Yard",2,Architecture & Design,"Architects, Residential, Commercial, Urban Design, Sustainability"
D.S. & Durga,"BLDG 77, STE 608, Brooklyn Navy Yard",4,Beauty & Personal Care,"Perfume & Perfumed Lotion, Candles, E-commerce Retail"
"Daedalus Design & Production, Inc.","BLDG 127 STE 101, Brooklyn Navy Yard 11205",4,Fabrication & Custom Installation (Wood & Metal),"Scenic Design & Fabrication, Theater"
Dan Roth Studio,"BLDG 77 STE 1009, Brooklyn Navy Yard 11205",1,Fine Art & Photography,Sculpture
DCM Fabrication Inc," Building 280, Suites 503, 506, 507, + 509 Brooklyn Navy Yard 11205",5,Fabrication & Custom Installation (Wood & Metal),"Installation for Artists, Designers, Architects"
"DDG Frameshop aka Donald Gatanic Framing, Inc","BLDG 77 STE 603, Brooklyn Navy Yard 11205",2,,"Industry: Services, Artists, & Designers, Sub Industry: Fine Art & Photography

Only takes appointments."
Dear 55 Inc aka Dear: RIvington,"BLDG 77, STE 1117, Brooklyn Navy Yard",1,Apparel & Accessory,"Wearable Avant Garde, Vintage & Antique, Home Goods, Ceramics"
