Account Name,Building (New Naming Convention),# of Employees cop,Industry,Description,Website
12 Hall Street Storage,,,,,
Aclima,,,,,
Adele Kaufman,,,,,
All County Business Essentials,,,,"Industry: Manufacturers & Distributors, Sub Industry: Transportation",
American Heirloom,,,,"Industry: Manufacturers & Distributors, Sub Industry: Furniture & Homegoods",
Annie's Ginger Elixir,,,,"Industry: Manufacturers & Distributors, Sub Industry: Food & Bev Production",
Aquis Hairsciences Inc,,,,"Industry: Manufacturers & Distributors, Sub Industry: Beauty & Personal Care",
Arplast Corp,,,,"Industry: Manufacturers & Distributors, Sub Industry: Fabrication & Custom Installation (Wood & Metal)",| Arplast Poly & Packaging Inc. | Packaging Solutions and Supplies to Fill Every Need (arplastpolybags.com)
Ayo Labs,,,,New tenant lease notice as of March 2024.,
Bats-Toi,,,,&Apparel & Accessory; Wearables,
Biomific,,,,,
Blueprint Power,,,,,Blueprint Power
Brachs Linen,,,,"Industry: Manufacturers & Distributors, Sub Industry: Furniture & Homegoods",
Brianna Calello,,,,"Industry: Services, Artists, & Designers, Sub Industry: Fine Art & Photography",
Brooklinen,,,,"Lease amendment extension notice in November 2024. 

Industry: Manufacturers & Distributors, Sub Industry: Furniture & Homegoods",
Brooklyn Navy Yard Development Corporation aka BNYDC,,,,,https://www.brooklynnavyyard.org/
Brooklyn Stone & Tile,,,,"Industry: Manufacturers & Distributors, Sub Industry: Fabrication & Custom Installation (Wood & Metal)",
Brooklyn Storehouse LLC (formerly Broadwick Group Limited & TCE Presents LLC,,,,Services and Designers,https://broadwick.com/
Building 131 LLC.,,,,,
Care/Of,,,,"Industry: Manufacturers & Distributors, Sub Industry: Health Care",
Carleen Sheehan,,,,"Lease renewal as of July 2024.

No separate account in SF.",
Chapter and Verse,,,,Furniture and design studio,
Circumference Products,,,,"Industry: Manufacturers & Distributors, Sub Industry: Beauty & Personal Care",
City Growers,,,,"Industry: Services, Artists, & Designers, Sub Industry: Education & Nonprofit",
Citywide Ferry,,,,,
Cohesive Robotics aka Fit to Forge Inc.,,,,"Industry: Manufacturers & Distributors, Sub Industry: Hardware, Software, & Design Engineering",https://cohesiverobotics.com
"DDG Frameshop aka Donald Gatanic Framing, Inc",,,,"Industry: Services, Artists, & Designers, Sub Industry: Fine Art & Photography

Only takes appointments.",https://www.ddgframeshop.com/
DIVISION NYC,,,,,
EcoLogic Solutions,,,,"Cleaning & Industrial Products, Sustainability, B Corp",
Emissionsless,,,,,Zero-Emissions Logistics | Emissionless
Estudio Piedras aka Vicente Munoz   Photography,,,,"Industry: Manufacturers & Distributors, Sub Industry: Furniture & Homegoods

Lease renewed in July 2024.",
Everstar AI,,,,,
"First Response Contracting, LLC",,,,"Industry: Services, Artists, & Designers, Sub Industry: Contracting & Construction",
Food 52,,,,"Food52 is a food and home brand that combines recipes, community content, and a curated shop of kitchen and home goods. ",www.food52.com 
Ford Smith aka A1 Messenger Service,,,,"Industry: Services, Artists, & Designers, Sub Industry: Fine Art & Photography",
Ground Cloth aka Louisa Thompson,,,,"Industry: Manufacturers & Distributors, Sub Industry: Creative Office & Media",
Hell Yes Design Studio,,,,"Industry: Services, Artists, & Designers, Sub Industry: Creative Office & Media",
Ian Salter Studios (Navy Studio Member),,,,"Industry: Services, Artists, & Designers, Sub Industry: Creative Office & Media",
Jack Herzog Art,,,,"Industry: Services, Artists, & Designers, Sub Industry: Fine Art & Photography",
JC CANCEDDA PHOTOGRAPHY,,,,"Industry: Services, Artists, & Designers, Sub Industry: Fine Art & Photography",
John Shorb,,,,"Industry: Services, Artists, & Designers, Sub Industry: Fine Art & Photography",
Jon Besch,,,,"Industry: Manufacturers & Distributors, Sub Industry: Fabrication & Custom Installation (Wood & Metal)",JON BESCH CUSTOM
Kestenbaum & Company Inc,,,,"Industry: Services, Artists, & Designers, Sub Industry: Other (Mostly Professional Services)",
Kintra Fibers,,,,"Biodegradable Polyester Alternative, Materials Innovation, Sustainability, Life Sciences",
Knowledge Futures,,,,,
Lauren Shooster Studio,,,,"Industry: Services, Artists, & Designers, Sub Industry: Fine Art & Photography",
Legacy J Studios,,,,"Industry: Services, Artists, & Designers, Sub Industry: Fine Art & Photography",
Matt Harrington Photography,,,,"Industry: Services, Artists, & Designers, Sub Industry: Fine Art & Photography",
Metafactory,,,,"New GBMI subtenant in November 2024. 

Storage and fulfillment.	",
Michael Asente,,,,"Industry: Services, Artists, & Designers, Sub Industry: Fine Art & Photography

Tenant noted executed a Lease Renewal in June 2024 with Monique Luchetti.",
Mimic,,,,,Mimic Ransomware Defense
Miroslava Romanova,,,,"Industry: Services, Artists, & Designers, Sub Industry: Fine Art & Photography",
Mochanson Corp,,,,"Industry: Services, Artists, & Designers, Sub Industry: Other (Mostly Professional Services)",
Modos Furniture,,,,"Industry: Manufacturers & Distributors, Sub Industry: Furniture & Homegoods",
Monique Luchetti,,,,"Industry: Services, Artists, & Designers, Sub Industry: Fine Art & Photography

Tenant noted executed a Lease Renewal in June 2024 with Michael Asente.",
New System Ventures,,,,"Industry: Services, Artists, & Designers, Sub Industry: Other (Mostly Professional Services)",
Optique Elegance,,,,"Eyeglass Prototyping & E-commerce (Shipping, and Warehousing)",
Patina Studios,,,,"Industry: Manufacturers & Distributors, Sub Industry: Furniture & Homegoods",
Patten Studio aka D Plus I,,,,"Industry: Services, Artists, & Designers, Sub Industry: Creative Office & Media",
pH7 Natural Beauty Inc,,,,"Nail Care, Hand and Foot Care Products, Non-toxic, E-commerce Retail",
Poise NYC,,,,"Industry: Services, Artists, & Designers, Sub Industry: Creative Office & Media",
SAMAP USA,,,,"Project Management, Technical and Logistic Consulting for Luxury Furniture Installations for Large Commercial/Retail Clients",SAMAP | Luxury furniture installers (samapusa.com)
Sensofar,,,,"Industry: Manufacturers & Distributors, Sub Industry: Hardware, Software, & Design Engineering",
SinkCo,,,,,
SolarMelts,,,,"Industry: Manufacturers & Distributors, Sub Industry: Biotech, Lab & Medtech",
Stillleben,,,,"Industry: Services, Artists, & Designers, Sub Industry: Fine Art & Photography",
Thalo Labs,,,,"Industry: Manufacturers & Distributors, Sub Industry: Power & Energy",
The Black Cake Company,,,,"Industry: Manufacturers & Distributors, Sub Industry: Food & Bev Production",
Thermoverse,,,,,
Thrya Heder - Sublease,,,,,
Tracey Tanner,,,,"Industry: Manufacturers & Distributors, Sub Industry: Furniture & Homegoods",
Twenty04,,,,,
URBAN-X,,,,"Industry: Services, Artists, & Designers, Sub Industry: Other (Mostly Professional Services)",
vintageloftny,,,,"Industry: Services, Artists, & Designers, Sub Industry: Apparel & Accessory",
Ware of the Dog,,,,"Industry: Services, Artists, & Designers, Sub Industry: Apparel & Accessory",
William Falk Wallace,,,,"Industry: Manufacturers & Distributors, Sub Industry: Fabrication & Custom Installation (Wood & Metal)",
Bike New York,88,30,Education & Nonprofit,Bike mechanic education for justice involved persons,https://www.bike.nyc/
Brooklyn Book Bodega,77,5,Education & Nonprofit,"Literacy, Children, Donations",https://www.brooklynbookbodega.org/book-drop-location
Brooklyn Greenway Initiative,100,7,Education & Nonprofit,"Contracting & Construction, public space",https://www.brooklyngreenway.org/
"Brooklyn Workforce Innovations aka Leap, Inc.",92,16,Education & Nonprofit,"Employment Center, Job Training",https://bwiny.org/?gclid=EAIaIQobChMInfnjz8iTgAMVirbICh2Jqw5gEAAYASAAEgKjivD_BwE
BTFA Collective,77,1,Education & Nonprofit,"Arts, LGBTQIA",https://www.btfacollective.org/
Dieu Donne,88,11,Education & Nonprofit,Papermaking education and collective,https://www.dieudonne.org/
HITN Inc.,33,49,Education & Nonprofit,A & H C Designs Corp,https://www.hitn.org/
Little Essentials,240,3,Education & Nonprofit,"Clothing, Maternity and Baby Goods",https://www.littleessentials.org/
One Community,,,Education & Nonprofit,Food Pantry,
Terreform ONE,212,11,Education & Nonprofit,"501c3; Art, Architecture, and Urban Design research group, Sustainability",https://www.terreform.org/
Adam Elstein Studio,77,1,Fine Art & Photography,"Architectural photographer, Pratt Adjunct Professor",https://www.adamelstein.com/
Alsop Studios,77,2,Fine Art & Photography,"Photography, Commercial Art, Product Photography",https://www.linkedin.com/in/ben-alsop-51303292/
Alyson Shotz Studio LLC,240,1,Fine Art & Photography,Fine art,https://www.google.com/search?q=alyson+shotz&rlz=1C1VDKB_enUS1120US1120&oq=alyson+shotz&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgYIARBFGEAyBggCEEUYPNIBCDE5MzVqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8
Andrea Rosen Gallery Inc.,140,2,Fine Art & Photography,Artist Rep,https://www.andrearosengallery.com/
Anne Ballard Peabody,77,16,Fine Art & Photography,"Sculpture, Installation, Drawing, Performance Art",https://www.annepeabody.com/
Anne Collier,140,3,Fine Art & Photography,"Photography, High Profile",https://en.wikipedia.org/wiki/Anne_Collier
Area 1202,140,77,Fine Art & Photography,"Photography, Video, Commercial Art, Fashion",http://www.area1202.com/
Barbara Gallucci,97,2,Fine Art & Photography,"Sculpture, Installation, Photography, Design",https://www.barbaragallucci.com/
Barronarts,,,Fine Art & Photography,"Fine Art and Photography Frames, Canvases",
Ben Thorp Brown,88,1,Fine Art & Photography,Photgraphy studio,https://www.benthorpbrown.com/
Beth Campbell Studio,88,1,Fine Art & Photography,"Sculpture, Ceramics, Object Work",https://bethcampbellstudio.com/
BREAKFAST,303,22,Fine Art & Photography,"Tech Art, Climate",https://breakfaststudio.com/
